# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
LSDV026	gene-LSDVgp026	TRANSCRIPT_gene-LSDVgp026	protein_coding	3	0	0	25	0	0	0	0	14	2	0	0	1	0	0	11
LSDV027	gene-LSDVgp027	TRANSCRIPT_gene-LSDVgp027	protein_coding	2	0	0	32	0	0	0	0	16	2	0	0	0	0	0	16
LSDV028	gene-LSDVgp028	TRANSCRIPT_gene-LSDVgp028	protein_coding	1	0	1	29	1	0	0	0	13	1	0	0	0	0	0	16
LSDV029	gene-LSDVgp029	TRANSCRIPT_gene-LSDVgp029	protein_coding	0	0	0	27	0	0	0	0	10	0	0	0	0	0	0	17
LSDV030	gene-LSDVgp030	TRANSCRIPT_gene-LSDVgp030	protein_coding	1	0	0	25	0	0	0	0	10	1	0	0	0	0	0	15
LSDV031	gene-LSDVgp031	TRANSCRIPT_gene-LSDVgp031	protein_coding	1	0	0	26	0	0	0	0	14	1	0	0	0	0	0	12
LSDV032	gene-LSDVgp032	TRANSCRIPT_gene-LSDVgp032	protein_coding	3	2	1	23	1	0	0	0	11	3	0	0	0	0	2	12
LSDV033	gene-LSDVgp033	TRANSCRIPT_gene-LSDVgp033	protein_coding	3	0	2	24	0	0	0	0	15	3	2	0	0	0	0	9
LSDV034	gene-LSDVgp034	TRANSCRIPT_gene-LSDVgp034	protein_coding	1	0	0	24	0	0	0	0	16	1	0	0	0	0	0	8
LSDV035	gene-LSDVgp036	TRANSCRIPT_gene-LSDVgp036	protein_coding	3	0	1	18	0	0	0	0	4	3	1	0	0	0	0	14
LSDV036	gene-LSDVgp035	TRANSCRIPT_gene-LSDVgp035	protein_coding	0	0	1	21	0	0	0	0	14	0	1	0	0	0	0	7
LSDV037	gene-LSDVgp037	TRANSCRIPT_gene-LSDVgp037	protein_coding	1	0	0	26	0	0	0	0	12	0	0	0	1	0	0	14
LSDV038	gene-LSDVgp038	TRANSCRIPT_gene-LSDVgp038	protein_coding	1	1	0	25	0	0	0	0	15	1	0	0	0	0	1	10
LSDV039	gene-LSDVgp039	TRANSCRIPT_gene-LSDVgp039	protein_coding	3	1	1	31	0	0	0	0	10	3	1	0	0	0	1	21
LSDV040	gene-LSDVgp040	TRANSCRIPT_gene-LSDVgp040	protein_coding	2	0	0	28	0	0	0	0	21	2	0	0	0	0	0	7
LSDV041	gene-LSDVgp041	TRANSCRIPT_gene-LSDVgp041	protein_coding	1	1	0	29	0	0	0	0	9	1	0	0	0	0	1	20
LSDV042	gene-LSDVgp042	TRANSCRIPT_gene-LSDVgp042	protein_coding	5	0	2	29	1	0	0	0	11	5	1	0	0	0	0	18
LSDV043	gene-LSDVgp043	TRANSCRIPT_gene-LSDVgp043	protein_coding	4	0	0	33	0	0	0	0	16	4	0	0	0	0	0	17
LSDV044	gene-LSDVgp044	TRANSCRIPT_gene-LSDVgp044	protein_coding	1	0	1	35	1	0	0	0	20	1	0	0	0	0	0	15
LSDV045	gene-LSDVgp045	TRANSCRIPT_gene-LSDVgp045	protein_coding	2	0	2	33	1	0	0	0	21	2	1	0	0	0	0	12
LSDV046	gene-LSDVgp046	TRANSCRIPT_gene-LSDVgp046	protein_coding	1	0	0	32	0	0	0	0	21	1	0	0	0	0	0	11
LSDV047	gene-LSDVgp047	TRANSCRIPT_gene-LSDVgp047	protein_coding	1	1	1	31	1	0	0	0	22	1	0	0	0	0	1	9
LSDV048	gene-LSDVgp048	TRANSCRIPT_gene-LSDVgp048	protein_coding	3	0	1	28	1	0	0	0	20	3	0	0	0	0	0	8
LSDV049	gene-LSDVgp049	TRANSCRIPT_gene-LSDVgp049	protein_coding	3	0	1	27	0	0	0	1	9	3	0	0	0	0	0	18
LSDV050	gene-LSDVgp050	TRANSCRIPT_gene-LSDVgp050	protein_coding	2	0	0	22	0	0	0	0	12	2	0	0	0	0	0	10
LSDV051	gene-LSDVgp052	TRANSCRIPT_gene-LSDVgp052	protein_coding	0	0	1	19	0	0	1	0	10	0	0	0	0	0	0	9
LSDV052	gene-LSDVgp051	TRANSCRIPT_gene-LSDVgp051	protein_coding	0	0	0	21	0	0	0	0	10	0	0	0	0	0	0	11
LSDV053	gene-LSDVgp053	TRANSCRIPT_gene-LSDVgp053	protein_coding	0	0	1	16	1	0	0	0	7	0	0	0	0	0	0	9
LSDV054	gene-LSDVgp054	TRANSCRIPT_gene-LSDVgp054	protein_coding	3	0	1	15	0	0	1	0	7	3	0	0	0	0	0	8
LSDV055	gene-LSDVgp055	TRANSCRIPT_gene-LSDVgp055	protein_coding	0	0	1	15	0	1	0	0	6	0	0	0	0	0	0	9
LSDV056	gene-LSDVgp056	TRANSCRIPT_gene-LSDVgp056	protein_coding	0	0	0	17	0	0	0	0	7	0	0	0	0	0	0	10
LSDV057	gene-LSDVgp057	TRANSCRIPT_gene-LSDVgp057	protein_coding	1	0	1	17	1	0	0	0	9	1	0	0	0	0	0	8
LSDV058	gene-LSDVgp058	TRANSCRIPT_gene-LSDVgp058	protein_coding	2	0	0	21	0	0	0	0	10	2	0	0	0	0	0	11
LSDV059	gene-LSDVgp059	TRANSCRIPT_gene-LSDVgp059	protein_coding	0	0	0	23	0	0	0	0	12	0	0	0	0	0	0	11
LSDV060	gene-LSDVgp060	TRANSCRIPT_gene-LSDVgp060	protein_coding	1	0	0	23	0	0	0	0	14	1	0	0	0	0	0	9
LSDV061	gene-LSDVgp061	TRANSCRIPT_gene-LSDVgp061	protein_coding	1	0	0	21	0	0	0	0	13	1	0	0	0	0	0	8
LSDV062	gene-LSDVgp062	TRANSCRIPT_gene-LSDVgp062	protein_coding	1	0	0	20	0	0	0	0	8	0	0	0	1	0	0	12
LSDV063	gene-LSDVgp063	TRANSCRIPT_gene-LSDVgp063	protein_coding	1	0	1	20	0	0	1	0	12	1	0	0	0	0	0	8
LSDV064	gene-LSDVgp064	TRANSCRIPT_gene-LSDVgp064	protein_coding	0	0	0	20	0	0	0	0	12	0	0	0	0	0	0	8
LSDV065	gene-LSDVgp065	TRANSCRIPT_gene-LSDVgp065	protein_coding	2	0	1	17	0	0	1	0	9	2	0	0	0	0	0	8
LSDV066	gene-LSDVgp066	TRANSCRIPT_gene-LSDVgp066	protein_coding	1	0	1	17	0	0	0	1	7	1	0	0	0	0	0	10
LSDV067	gene-LSDVgp067	TRANSCRIPT_gene-LSDVgp067	protein_coding	0	1	0	18	0	0	0	0	7	0	0	0	0	0	1	11
LSDV068	gene-LSDVgp068	TRANSCRIPT_gene-LSDVgp068	protein_coding	2	0	1	18	0	0	0	0	6	2	1	0	0	0	0	12
LSDV069	gene-LSDVgp069	TRANSCRIPT_gene-LSDVgp069	protein_coding	0	0	0	21	0	0	0	0	7	0	0	0	0	0	0	14
LSDV070	gene-LSDVgp070	TRANSCRIPT_gene-LSDVgp070	protein_coding	0	0	0	20	0	0	0	0	13	0	0	0	0	0	0	7
LSDV071	gene-LSDVgp071	TRANSCRIPT_gene-LSDVgp071	protein_coding	6	0	0	16	0	0	0	0	3	5	0	0	1	0	0	13
LSDV072	gene-LSDVgp072	TRANSCRIPT_gene-LSDVgp072	protein_coding	1	0	0	8	0	0	0	0	6	1	0	0	0	0	0	2
LSDV073	gene-LSDVgp073	TRANSCRIPT_gene-LSDVgp073	protein_coding	0	0	0	10	0	0	0	0	3	0	0	0	0	0	0	7
LSDV074	gene-LSDVgp074	TRANSCRIPT_gene-LSDVgp074	protein_coding	1	0	0	13	0	0	0	0	7	1	0	0	0	0	0	6
LSDV075	gene-LSDVgp075	TRANSCRIPT_gene-LSDVgp075	protein_coding	1	0	0	15	0	0	0	0	5	1	0	0	0	0	0	10
LSDV076	gene-LSDVgp076	TRANSCRIPT_gene-LSDVgp076	protein_coding	0	0	0	15	0	0	0	0	11	0	0	0	0	0	0	4
LSDV077	gene-LSDVgp077	TRANSCRIPT_gene-LSDVgp077	protein_coding	1	0	0	15	0	0	0	0	12	1	0	0	0	0	0	3
LSDV078	gene-LSDVgp078	TRANSCRIPT_gene-LSDVgp078	protein_coding	2	0	0	17	0	0	0	0	14	2	0	0	0	0	0	3
LSDV079	gene-LSDVgp079	TRANSCRIPT_gene-LSDVgp079	protein_coding	4	0	2	17	0	0	2	0	12	4	0	0	0	0	0	5
LSDV080	gene-LSDVgp080	TRANSCRIPT_gene-LSDVgp080	protein_coding	0	0	0	24	0	0	0	0	10	0	0	0	0	0	0	14
LSDV081	gene-LSDVgp081	TRANSCRIPT_gene-LSDVgp081	protein_coding	1	0	1	23	1	0	0	0	13	1	0	0	1	0	0	10
LSDV082	gene-LSDVgp082	TRANSCRIPT_gene-LSDVgp082	protein_coding	1	0	0	25	0	0	0	0	13	1	0	0	0	0	0	12
LSDV083	gene-LSDVgp083	TRANSCRIPT_gene-LSDVgp083	protein_coding	8	1	0	20	0	0	0	0	8	8	0	0	0	0	1	12
LSDV084	gene-LSDVgp084	TRANSCRIPT_gene-LSDVgp084	protein_coding	3	0	0	19	0	0	0	0	6	3	0	0	0	0	0	13
LSDV085	gene-LSDVgp085	TRANSCRIPT_gene-LSDVgp085	protein_coding	1	0	0	19	0	0	0	0	6	1	0	0	0	0	0	13
LSDV086	gene-LSDVgp086	TRANSCRIPT_gene-LSDVgp086	protein_coding	1	0	0	18	0	0	0	0	5	1	0	0	0	0	0	13
LSDV087	gene-LSDVgp087	TRANSCRIPT_gene-LSDVgp087	protein_coding	0	0	1	16	0	0	1	0	4	0	0	0	0	0	0	12
LSDV088	gene-LSDVgp088	TRANSCRIPT_gene-LSDVgp088	protein_coding	2	0	1	11	0	0	0	0	8	2	1	0	0	0	0	3
LSDV089	gene-LSDVgp089	TRANSCRIPT_gene-LSDVgp089	protein_coding	0	0	0	15	0	0	0	0	9	0	0	0	0	0	0	6
LSDV090	gene-LSDVgp090	TRANSCRIPT_gene-LSDVgp090	protein_coding	1	0	0	13	0	0	0	0	6	1	0	0	0	0	0	7
LSDV091	gene-LSDVgp091	TRANSCRIPT_gene-LSDVgp091	protein_coding	0	0	0	12	0	0	0	0	5	0	0	0	0	0	0	7
LSDV092	gene-LSDVgp092	TRANSCRIPT_gene-LSDVgp092	protein_coding	1	0	0	11	0	0	0	0	4	1	0	0	0	0	0	7
LSDV093	gene-LSDVgp093	TRANSCRIPT_gene-LSDVgp093	protein_coding	0	0	0	11	0	0	0	0	4	0	0	0	0	0	0	7
LSDV094	gene-LSDVgp094	TRANSCRIPT_gene-LSDVgp094	protein_coding	1	2	2	11	0	0	0	0	4	1	2	0	0	0	2	7
LSDV095	gene-LSDVgp095	TRANSCRIPT_gene-LSDVgp095	protein_coding	0	0	1	14	1	0	0	0	7	0	0	0	0	0	0	7
LSDV096	gene-LSDVgp096	TRANSCRIPT_gene-LSDVgp096	protein_coding	0	0	0	15	0	0	0	0	8	0	0	0	0	0	0	7
LSDV097	gene-LSDVgp097	TRANSCRIPT_gene-LSDVgp097	protein_coding	1	0	0	15	0	0	0	0	7	1	0	0	0	0	0	8
LSDV098	gene-LSDVgp098	TRANSCRIPT_gene-LSDVgp098	protein_coding	4	0	0	12	0	0	0	0	7	4	0	0	0	0	0	5
LSDV099	gene-LSDVgp099	TRANSCRIPT_gene-LSDVgp099	protein_coding	2	0	0	13	0	0	0	0	3	2	0	0	0	0	0	10
LSDV100	gene-LSDVgp100	TRANSCRIPT_gene-LSDVgp100	protein_coding	0	0	0	12	0	0	0	0	8	0	0	0	0	0	0	4
LSDV101	gene-LSDVgp101	TRANSCRIPT_gene-LSDVgp101	protein_coding	2	0	0	18	0	0	0	0	7	2	0	0	0	0	0	11
LSDV102	gene-LSDVgp102	TRANSCRIPT_gene-LSDVgp102	protein_coding	0	0	1	19	1	0	0	0	11	0	0	0	0	0	0	8
LSDV103	gene-LSDVgp103	TRANSCRIPT_gene-LSDVgp103	protein_coding	0	0	0	22	0	0	0	0	5	0	0	0	0	0	0	17
LSDV104	gene-LSDVgp104	TRANSCRIPT_gene-LSDVgp104	protein_coding	0	0	0	21	0	0	0	0	4	0	0	0	0	0	0	17
LSDV105	gene-LSDVgp105	TRANSCRIPT_gene-LSDVgp105	protein_coding	0	0	0	20	0	0	0	0	3	0	0	0	0	0	0	17
LSDV106	gene-LSDVgp106	TRANSCRIPT_gene-LSDVgp106	protein_coding	0	0	1	20	0	0	0	1	3	0	0	0	0	0	0	17
LSDV107	gene-LSDVgp107	TRANSCRIPT_gene-LSDVgp107	protein_coding	0	0	0	21	0	0	0	0	4	0	0	0	0	0	0	17
LSDV108	gene-LSDVgp108	TRANSCRIPT_gene-LSDVgp108	protein_coding	1	1	1	22	0	1	0	0	3	1	0	0	0	0	1	19
LSDV109	gene-LSDVgp109	TRANSCRIPT_gene-LSDVgp109	protein_coding	1	0	1	26	1	0	0	0	5	1	0	0	0	0	0	21
LSDV110	gene-LSDVgp110	TRANSCRIPT_gene-LSDVgp110	protein_coding	3	0	2	27	0	0	0	0	20	3	2	0	0	0	0	7
LSDV111	gene-LSDVgp111	TRANSCRIPT_gene-LSDVgp111	protein_coding	2	0	0	31	0	0	0	0	12	2	0	0	0	0	0	19
LSDV112	gene-LSDVgp113	TRANSCRIPT_gene-LSDVgp113	protein_coding	2	0	0	32	0	0	0	0	16	2	0	0	0	0	0	16
LSDV113	gene-LSDVgp112	TRANSCRIPT_gene-LSDVgp112	protein_coding	1	1	1	29	1	0	0	0	13	1	0	0	0	0	1	16
LSDV114	gene-LSDVgp114	TRANSCRIPT_gene-LSDVgp114	protein_coding	1	0	0	33	0	0	0	0	16	1	0	0	0	0	0	17
LSDV115	gene-LSDVgp115	TRANSCRIPT_gene-LSDVgp115	protein_coding	5	2	1	28	0	0	0	0	10	5	1	0	0	0	2	18
LSDV116	gene-LSDVgp116	TRANSCRIPT_gene-LSDVgp116	protein_coding	7	0	1	27	0	0	0	1	6	7	0	0	0	0	0	21
LSDV117	gene-LSDVgp117	TRANSCRIPT_gene-LSDVgp117	protein_coding	0	0	1	22	0	0	0	0	17	0	1	0	0	0	0	5
LSDV118	gene-LSDVgp118	TRANSCRIPT_gene-LSDVgp118	protein_coding	0	0	0	23	0	0	0	0	17	0	0	0	0	0	0	6
LSDV119	gene-LSDVgp119	TRANSCRIPT_gene-LSDVgp119	protein_coding	1	0	0	23	0	0	0	0	14	1	0	0	0	0	0	9
LSDV120	gene-LSDVgp120	TRANSCRIPT_gene-LSDVgp120	protein_coding	0	0	0	20	0	0	0	0	10	0	0	0	0	0	0	10
LSDV121	gene-LSDVgp121	TRANSCRIPT_gene-LSDVgp121	protein_coding	2	0	0	21	0	0	0	0	10	2	0	0	0	0	0	11
LSDV122	gene-LSDVgp122	TRANSCRIPT_gene-LSDVgp122	protein_coding	0	0	0	23	0	0	0	0	15	0	0	0	0	0	0	8
LSDV123	gene-LSDVgp123	TRANSCRIPT_gene-LSDVgp123	protein_coding	1	0	1	21	0	0	1	0	14	1	0	0	0	0	0	7
LSDV124	gene-LSDVgp124	TRANSCRIPT_gene-LSDVgp124	protein_coding	0	0	0	24	0	0	0	0	15	0	0	0	0	0	0	9
LSDV125	gene-LSDVgp125	TRANSCRIPT_gene-LSDVgp125	protein_coding	0	0	0	23	0	0	0	0	16	0	0	0	0	0	0	7
LSDV126	gene-LSDVgp126	TRANSCRIPT_gene-LSDVgp126	protein_coding	0	0	2	21	0	0	1	0	15	0	1	0	0	0	0	6
LSDV127	gene-LSDVgp127	TRANSCRIPT_gene-LSDVgp127	protein_coding	2	0	1	25	0	0	0	0	18	2	1	0	0	0	0	7
LSDV128	gene-LSDVgp128	TRANSCRIPT_gene-LSDVgp128	protein_coding	5	0	0	23	0	0	0	0	10	4	0	0	1	0	0	13
LSDV129	gene-LSDVgp129	TRANSCRIPT_gene-LSDVgp129	protein_coding	0	0	1	26	0	0	0	0	12	0	1	0	0	0	0	14
LSDV130	gene-LSDVgp130	TRANSCRIPT_gene-LSDVgp130	protein_coding	1	0	0	27	0	0	0	0	12	1	0	0	0	0	0	15
LSDV131	gene-LSDVgp131	TRANSCRIPT_gene-LSDVgp131	protein_coding	1	0	0	28	0	0	0	0	12	1	0	0	0	0	0	16
LSDV132	gene-LSDVgp132	TRANSCRIPT_gene-LSDVgp132	protein_coding	0	0	0	28	0	0	0	0	13	0	0	0	0	0	0	15
LSDV133	gene-LSDVgp133	TRANSCRIPT_gene-LSDVgp133	protein_coding	4	0	0	24	0	0	0	0	9	4	0	0	0	0	0	15
LSDV134	gene-LSDVgp134	TRANSCRIPT_gene-LSDVgp134	protein_coding	6	0	0	31	0	0	0	0	14	6	0	0	0	0	0	17
LSDV135	gene-LSDVgp135	TRANSCRIPT_gene-LSDVgp135	protein_coding	1	0	0	23	0	0	0	0	19	1	0	0	0	0	0	4
LSDV136	gene-LSDVgp136	TRANSCRIPT_gene-LSDVgp136	protein_coding	1	1	0	22	0	0	0	0	17	1	0	0	0	0	1	5
LSDV137	gene-LSDVgp137	TRANSCRIPT_gene-LSDVgp137	protein_coding	1	0	0	24	0	0	0	0	17	1	0	0	0	0	0	7
LSDV138	gene-LSDVgp138	TRANSCRIPT_gene-LSDVgp138	protein_coding	0	0	0	27	0	0	0	0	17	0	0	0	0	0	0	10
LSDV139	gene-LSDVgp139	TRANSCRIPT_gene-LSDVgp139	protein_coding	2	0	0	27	0	0	0	0	17	2	0	0	0	0	0	10
LSDV140	gene-LSDVgp140	TRANSCRIPT_gene-LSDVgp140	protein_coding	1	0	1	31	0	0	0	0	19	1	1	0	0	0	0	12
LSDV141	gene-LSDVgp141	TRANSCRIPT_gene-LSDVgp141	protein_coding	3	0	0	34	0	0	0	0	20	3	0	0	0	0	0	14
LSDV142	gene-LSDVgp142	TRANSCRIPT_gene-LSDVgp142	protein_coding	3	0	0	34	0	0	0	0	17	3	0	0	0	0	0	17
LSDV143	gene-LSDVgp143	TRANSCRIPT_gene-LSDVgp143	protein_coding	4	0	0	29	0	0	0	0	13	4	0	0	0	0	0	16
LSDV144	gene-LSDVgp144	TRANSCRIPT_gene-LSDVgp144	protein_coding	4	0	0	29	0	0	0	0	13	4	0	0	0	0	0	16
LSDV145	gene-LSDVgp145	TRANSCRIPT_gene-LSDVgp145	protein_coding	5	0	4	24	2	1	0	1	7	4	0	0	1	0	0	17
LSDV146	gene-LSDVgp146	TRANSCRIPT_gene-LSDVgp146	protein_coding	0	0	0	27	0	0	0	0	10	0	0	0	0	0	0	17
LSDV147	gene-LSDVgp147	TRANSCRIPT_gene-LSDVgp147	protein_coding	2	0	2	19	0	0	1	0	6	2	1	0	0	0	0	13
LSDV148	gene-LSDVgp148	TRANSCRIPT_gene-LSDVgp148	protein_coding	2	0	1	16	0	0	0	0	3	2	1	0	0	0	0	13
LSDV149	gene-LSDVgp149	TRANSCRIPT_gene-LSDVgp149	protein_coding	0	0	0	14	0	0	0	0	3	0	0	0	0	0	0	11
LSDV150	gene-LSDVgp150	TRANSCRIPT_gene-LSDVgp150	protein_coding	2	0	1	7	0	0	0	1	0	2	0	0	0	0	0	7
LSDV151	gene-LSDVgp151	TRANSCRIPT_gene-LSDVgp151	protein_coding	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	10
LSDV152	gene-LSDVgp152	TRANSCRIPT_gene-LSDVgp152	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	7
LSDV153	gene-LSDVgp153	TRANSCRIPT_gene-LSDVgp153	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3
LSDV154	gene-LSDVgp154	TRANSCRIPT_gene-LSDVgp154	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3
LSDV155	gene-LSDVgp155	TRANSCRIPT_gene-LSDVgp155	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
